# Li & White 2009
# logM*, logdN/dlogM* [cMpc-3]
8.27335, -1.68482
8.27835, -1.68560
8.28335, -1.68637
8.28835, -1.68715
8.29335, -1.68793
8.29835, -1.68871
8.30335, -1.68949
8.30835, -1.69027
8.31335, -1.69105
8.31835, -1.69184
8.32335, -1.69262
8.32835, -1.69341
8.33335, -1.69420
8.33835, -1.69499
8.34335, -1.69579
8.34835, -1.69658
8.35335, -1.69738
8.35835, -1.69818
8.36335, -1.69898
8.36835, -1.69978
8.37335, -1.70058
8.37835, -1.70139
8.38335, -1.70220
8.38835, -1.70301
8.39335, -1.70382
8.39835, -1.70463
8.40335, -1.70544
8.40835, -1.70626
8.41335, -1.70708
8.41835, -1.70790
8.42335, -1.70872
8.42835, -1.70955
8.43335, -1.71037
8.43835, -1.71120
8.44335, -1.71203
8.44835, -1.71286
8.45335, -1.71370
8.45835, -1.71454
8.46335, -1.71537
8.46835, -1.71622
8.47335, -1.71706
8.47835, -1.71790
8.48335, -1.71875
8.48835, -1.71960
8.49335, -1.72046
8.49835, -1.72131
8.50335, -1.72217
8.50835, -1.72303
8.51335, -1.72389
8.51835, -1.72475
8.52335, -1.72562
8.52835, -1.72649
8.53335, -1.72736
8.53835, -1.72824
8.54335, -1.72911
8.54835, -1.72999
8.55335, -1.73088
8.55835, -1.73176
8.56335, -1.73265
8.56835, -1.73354
8.57335, -1.73443
8.57835, -1.73533
8.58335, -1.73623
8.58835, -1.73713
8.59335, -1.73804
8.59835, -1.73894
8.60335, -1.73986
8.60835, -1.74077
8.61335, -1.74169
8.61835, -1.74261
8.62335, -1.74353
8.62835, -1.74446
8.63335, -1.74539
8.63835, -1.74632
8.64335, -1.74725
8.64835, -1.74819
8.65335, -1.74914
8.65835, -1.75008
8.66335, -1.75103
8.66835, -1.75198
8.67335, -1.75294
8.67835, -1.75390
8.68335, -1.75486
8.68835, -1.75583
8.69335, -1.75680
8.69835, -1.75778
8.70335, -1.75876
8.70835, -1.75974
8.71335, -1.76072
8.71835, -1.76171
8.72335, -1.76271
8.72835, -1.76371
8.73335, -1.76471
8.73835, -1.76571
8.74335, -1.76672
8.74835, -1.76774
8.75335, -1.76876
8.75835, -1.76978
8.76335, -1.77081
8.76835, -1.77184
8.77335, -1.77287
8.77835, -1.77392
8.78335, -1.77496
8.78835, -1.77601
8.79335, -1.77706
8.79835, -1.77812
